ticker,open,high,low,close,volume,amount,marketCap,shares,foreignersRate,exhaustionRate,BPS,PER,PBR,EPS,DIV,DPS,name,market,KRXIndustry,products,IPO,industryCode,industryName,sectorCode,sectorName
060310,1780.0,1796.0,1779.0,1794.0,138202.0,246790806.0,95187917760.0,53059040.0,3.8496094,3.8496094,933.0,0.0,1.92,0.0,0.0,0.0,3S,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어,20020423,WI230,기계,G20,산업재
095570,4375.0,4455.0,4355.0,4390.0,133881.0,587783316.0,198659612010.0,45252759.0,4.2890625,4.2890625,9902.0,9.05,0.44,485.0,6.15,270.0,AJ네트웍스,KOSPI,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",20150821,WI260,운송,G20,산업재
006840,9990.0,10010.0,9880.0,9920.0,10979.0,108929410.0,131415805120.0,13247561.0,5.3984375,5.3984375,40295.0,0.0,0.25,0.0,4.03,400.0,AK홀딩스,KOSPI,기타 금융업,지주사업,19990811,WI110,화학,G15,소재
054620,4255.0,4295.0,4235.0,4265.0,28189.0,120061420.0,84848852565.0,19894221.0,1.6699219,1.6699219,11326.0,0.0,0.38,0.0,0.0,0.0,APS,KOSDAQ,기타 금융업,인터넷 트래픽 솔루션,20011204,WI620,반도체,G45,IT
265520,20450.0,20900.0,20250.0,20900.0,155877.0,3210266800.0,314562158900.0,15050821.0,10.9765625,10.9765625,22405.0,6.06,0.93,3448.0,2.54,530.0,AP시스템,KOSDAQ,특수 목적용 기계 제조업,디스플레이 제조 장비,20170407,WI640,디스플레이,G45,IT
211270,12430.0,12780.0,12410.0,12530.0,113761.0,1433017420.0,188981269120.0,15082304.0,0.9501953,0.9501953,7393.0,17.09,1.69,733.0,0.0,0.0,AP위성,KOSDAQ,통신 및 방송 장비 제조업,위성통신 단말기,20160304,WI610,IT하드웨어,G45,IT
139050,0.0,0.0,0.0,2805.0,0.0,0.0,24247965555.0,8644551.0,4.9101562,4.9101562,2348.0,0.0,1.19,0.0,0.0,0.0,BF랩스,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)",20110729,__industryCode__,__industryName__,__sectorCode__,__sectorName__
027410,3865.0,3870.0,3800.0,3830.0,86727.0,331484147.0,366595309530.0,95716791.0,2.3203125,2.3203125,18202.0,3.98,0.21,963.0,3.39,130.0,BGF,KOSPI,기타 금융업,지주회사,20140519,WI110,화학,G15,소재
282330,105500.0,105600.0,102700.0,103300.0,49418.0,5110415950.0,1785427489800.0,17283906.0,29.125,29.125,68546.0,9.14,1.51,11301.0,3.97,4100.0,BGF리테일,KOSPI,종합 소매업,체인화 편의점,20171208,WI340,소매(유통),G25,경기관련소비재
126600,2950.0,2980.0,2910.0,2935.0,64308.0,189491780.0,184220848565.0,62766899.0,1.1503906,1.1503906,6475.0,11.33,0.45,259.0,1.7,50.0,BGF에코머티리얼즈,KOSDAQ,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,20101112,WI300,자동차,G25,경기관련소비재
138930,14200.0,14270.0,13800.0,13940.0,1175008.0,16322191140.0,4383086646760.0,314425154.0,38.65625,38.65625,33604.0,6.41,0.41,2174.0,4.66,650.0,BNK금융지주,KOSPI,기타 금융업,금융지주회사,20110330,WI500,은행,G40,금융
